total_visits,time_per_visit,lead_origin,lead_source,do_not_email,do_not_call,converted,country,specialization,how_did_you_hear_about_x_education,what_is_your_current_occupation,what_matters_most_to_you_in_choosing_a_course,tags,city,a_free_copy_of_mastering_the_interview,no_contact_allowed,lead_source_channel,is_from_india,total_visits_binned,total_time_spent_on_website_binned,page_views_per_visit_binned
5.0,44.4,Landing Page Submission,Google,0,0,0,India,Finance Management,Online Search,Not_Specified,Not_Specified,,Mumbai,0,0,Other_Source,1,High_Visits,Medium_Engagement,Very_High_Page_Views
6.0,45.833333333333336,Landing Page Submission,Direct Traffic,0,0,0,India,Operations Management,,Unemployed,Better Career Prospects,in touch with EINS,Mumbai,1,0,Other_Source,1,Very_High_Visits,Medium_Engagement,High_Page_Views
4.0,71.75,Landing Page Submission,Google,0,0,0,India,Marketing Management,Other,Unemployed,Better Career Prospects,Ringing,Mumbai,0,0,Other_Source,1,High_Visits,Medium_Engagement,Low_Page_Views
2.0,273.5,Landing Page Submission,Direct Traffic,0,0,0,India,Finance Management,,Unemployed,Better Career Prospects,Already a student,Mumbai,1,0,Other_Source,1,Low_Visits,High_Engagement,Low_Page_Views
6.0,204.16666666666666,API,Google,0,0,0,India,Supply Chain Management,,Unemployed,Better Career Prospects,Diploma holder (Not Eligible),Thane & Outskirts,0,0,Other_Source,1,Very_High_Visits,Very_High_Engagement,Very_High_Page_Views
0.0,0.0,API,Olark Chat,0,0,1,Unknown_Country,Not_Specified,,Unemployed,Better Career Prospects,Will revert after reading the email,Thane & Outskirts,0,0,Other_Source,0,Low_Visits,Low_Engagement,Low_Page_Views
5.0,32.0,Landing Page Submission,Google,0,0,0,India,Business Administration,Online Search,Unemployed,Better Career Prospects,Already a student,Mumbai,0,0,Other_Source,1,High_Visits,Medium_Engagement,Very_High_Page_Views
6.0,65.66666666666667,Landing Page Submission,Organic Search,0,0,0,India,Other_Specialization,,Unemployed,Better Career Prospects,Ringing,Mumbai,1,0,Other_Source,1,Very_High_Visits,High_Engagement,Low_Page_Views
6.0,47.666666666666664,API,Google,0,0,0,India,Not_Specified,,Not_Specified,Not_Specified,,Unknown_City,0,0,Other_Source,1,Very_High_Visits,Medium_Engagement,Low_Page_Views
7.0,13.714285714285714,API,Organic Search,0,0,0,India,Not_Specified,,Not_Specified,Not_Specified,,Unknown_City,0,0,Other_Source,1,Very_High_Visits,Low_Engagement,Medium_Page_Views
2.0,6.0,API,Organic Search,0,0,0,India,Not_Specified,,Unemployed,Better Career Prospects,switched off,Unknown_City,0,0,Other_Source,1,Low_Visits,Low_Engagement,Low_Page_Views
9.5,45.89473684210526,Landing Page Submission,Referral Sites,0,0,1,India,IT Projects Management,Online Search,Unemployed,Better Career Prospects,Busy,Other Metro Cities,0,0,Other_Source,1,Very_High_Visits,High_Engagement,Very_High_Page_Views
8.0,112.875,API,Referral Sites,0,0,1,India,Finance Management,,Unemployed,Better Career Prospects,Will revert after reading the email,Other Cities of Maharashtra,0,0,Other_Source,1,Very_High_Visits,High_Engagement,Very_High_Page_Views
9.5,43.05263157894737,Landing Page Submission,Organic Search,0,0,0,India,Human Resource Management,,Unemployed,Better Career Prospects,Interested in other courses,Mumbai,1,0,Other_Source,1,Very_High_Visits,High_Engagement,Very_High_Page_Views
9.5,72.10526315789474,Landing Page Submission,Referral Sites,0,0,0,India,Other_Specialization,,Unemployed,Better Career Prospects,Graduation in progress,Thane & Outskirts,1,0,Other_Source,1,Very_High_Visits,High_Engagement,Very_High_Page_Views
4.0,53.25,API,Google,0,0,0,India,International Business,Multiple Sources,Unemployed,Better Career Prospects,Interested in other courses,Mumbai,0,0,Other_Source,1,High_Visits,Medium_Engagement,High_Page_Views
0.0,0.0,API,Olark Chat,0,0,0,Unknown_Country,Not_Specified,,Unemployed,Better Career Prospects,Ringing,Unknown_City,0,0,Other_Source,0,Low_Visits,Low_Engagement,Low_Page_Views
7.0,209.71428571428572,API,Organic Search,0,0,1,India,Marketing Management,,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0,0,Other_Source,1,Very_High_Visits,Very_High_Engagement,High_Page_Views
4.0,358.75,Landing Page Submission,Direct Traffic,0,0,1,India,Operations Management,,Working Professional,Better Career Prospects,Will revert after reading the email,Other Cities,1,0,Other_Source,1,High_Visits,Very_High_Engagement,High_Page_Views
1.0,157.0,Landing Page Submission,Google,0,0,1,India,Other_Specialization,Word Of Mouth,Unemployed,Better Career Prospects,Will revert after reading the email,Other Cities of Maharashtra,0,0,Other_Source,1,Low_Visits,Medium_Engagement,Low_Page_Views
3.0,295.0,API,Google,0,0,1,India,Operations Management,,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0,0,Other_Source,1,Medium_Visits,High_Engagement,Low_Page_Views
0.0,0.0,API,Olark Chat,0,0,1,Unknown_Country,Not_Specified,,Unemployed,Better Career Prospects,Will revert after reading the email,Other Cities of Maharashtra,0,0,Other_Source,0,Low_Visits,Low_Engagement,Low_Page_Views
0.0,0.0,API,Olark Chat,0,0,0,Unknown_Country,Finance Management,,Unemployed,Better Career Prospects,Interested in other courses,Unknown_City,0,0,Other_Source,0,Low_Visits,Low_Engagement,Low_Page_Views
1.0,1710.0,Landing Page Submission,Direct Traffic,0,0,0,India,Other_Specialization,,Unemployed,Better Career Prospects,Already a student,Thane & Outskirts,1,0,Other_Source,1,Low_Visits,Very_High_Engagement,Low_Page_Views
4.0,54.75,Landing Page Submission,Direct Traffic,0,0,0,India,Business Administration,Word Of Mouth,Unemployed,Better Career Prospects,Ringing,Mumbai,0,0,Other_Source,1,High_Visits,Medium_Engagement,High_Page_Views
3.0,37.0,Landing Page Submission,Referral Sites,0,0,0,India,International Business,,Unemployed,Better Career Prospects,Ringing,Other Metro Cities,1,0,Other_Source,1,Medium_Visits,Low_Engagement,High_Page_Views
6.0,37.333333333333336,API,Organic Search,0,0,0,India,Not_Specified,,Unemployed,Better Career Prospects,switched off,Unknown_City,0,0,Other_Source,1,Very_High_Visits,Medium_Engagement,Very_High_Page_Views
5.0,44.8,Landing Page Submission,Direct Traffic,0,0,0,India,Operations Management,,Not_Specified,Not_Specified,,Other Cities of Maharashtra,1,0,Other_Source,1,High_Visits,Medium_Engagement,Low_Page_Views
2.0,535.5,Landing Page Submission,Direct Traffic,0,0,1,India,Marketing Management,,Unemployed,Better Career Prospects,Lost to EINS,Other Cities of Maharashtra,1,0,Other_Source,1,Low_Visits,High_Engagement,Low_Page_Views
6.0,99.16666666666667,Landing Page Submission,Google,0,0,1,India,"Banking, Investment And Insurance",Word Of Mouth,Working Professional,Better Career Prospects,Will revert after reading the email,Mumbai,0,0,Other_Source,1,Very_High_Visits,High_Engagement,High_Page_Views
3.0,365.3333333333333,Lead Add Form,Other,0,0,1,Unknown_Country,Not_Specified,,Unemployed,Better Career Prospects,,Unknown_City,0,0,Other_Source,0,Medium_Visits,Very_High_Engagement,Medium_Page_Views
4.0,130.0,API,Referral Sites,0,0,0,India,Operations Management,Student of SomeSchool,Unemployed,Better Career Prospects,in touch with EINS,Mumbai,0,0,Other_Source,1,High_Visits,High_Engagement,High_Page_Views
3.0,235.0,Lead Add Form,Reference,0,0,1,Unknown_Country,Other_Specialization,,Working Professional,Better Career Prospects,Will revert after reading the email,Thane & Outskirts,0,0,Other_Source,0,Medium_Visits,High_Engagement,Medium_Page_Views
2.0,196.5,API,Google,0,0,0,India,Not_Specified,,Unemployed,Better Career Prospects,Ringing,Unknown_City,0,0,Other_Source,1,Low_Visits,High_Engagement,Low_Page_Views
3.0,115.33333333333333,Lead Add Form,Other,0,0,1,Unknown_Country,Not_Specified,,Unemployed,Better Career Prospects,,Unknown_City,0,0,Other_Source,0,Medium_Visits,Medium_Engagement,Medium_Page_Views
0.0,0.0,API,Olark Chat,0,0,1,Unknown_Country,Operations Management,,Working Professional,Better Career Prospects,Will revert after reading the email,Unknown_City,0,0,Other_Source,0,Low_Visits,Low_Engagement,Low_Page_Views
3.0,378.6666666666667,Landing Page Submission,Google,0,0,1,India,IT Projects Management,Other,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0,0,Other_Source,1,Medium_Visits,Very_High_Engagement,High_Page_Views
3.0,111.66666666666667,API,Referral Sites,0,0,0,India,Not_Specified,,Unemployed,Better Career Prospects,Ringing,Unknown_City,0,0,Other_Source,1,Medium_Visits,Medium_Engagement,High_Page_Views
4.0,18.75,API,Referral Sites,0,0,0,India,Not_Specified,,Unemployed,Better Career Prospects,Ringing,Unknown_City,0,0,Other_Source,1,High_Visits,Low_Engagement,High_Page_Views
6.0,16.166666666666668,Landing Page Submission,Direct Traffic,0,0,0,Other_Country,Supply Chain Management,,Not_Specified,Not_Specified,,Mumbai,1,0,Other_Source,0,Very_High_Visits,Low_Engagement,High_Page_Views
3.0,335.6666666666667,Lead Add Form,Reference,0,0,1,Unknown_Country,Human Resource Management,,Unemployed,Better Career Prospects,Closed by Horizzon,Mumbai,0,0,Other_Source,0,Medium_Visits,High_Engagement,Medium_Page_Views
2.0,542.5,Landing Page Submission,Organic Search,0,0,0,India,Other_Specialization,,Unemployed,Better Career Prospects,Interested in other courses,Other Cities of Maharashtra,1,0,Other_Source,1,Low_Visits,High_Engagement,Low_Page_Views
3.0,71.33333333333333,API,Organic Search,0,0,0,India,Not_Specified,,Unemployed,Better Career Prospects,Interested in other courses,Unknown_City,0,0,Other_Source,1,Medium_Visits,Medium_Engagement,High_Page_Views
6.0,193.0,API,Olark Chat,0,0,1,India,Business Administration,,Unemployed,Better Career Prospects,,Other Cities,1,0,Other_Source,1,Very_High_Visits,Very_High_Engagement,Low_Page_Views
4.0,25.25,Landing Page Submission,Google,0,0,0,India,Finance Management,Other,Not_Specified,Not_Specified,,Mumbai,0,0,Other_Source,1,High_Visits,Low_Engagement,High_Page_Views
9.0,93.11111111111111,Landing Page Submission,Google,0,0,0,India,Healthcare Management,Word Of Mouth,Not_Specified,Not_Specified,,Mumbai,0,0,Other_Source,1,Very_High_Visits,High_Engagement,Very_High_Page_Views
3.0,178.66666666666666,Landing Page Submission,Direct Traffic,0,0,0,India,Finance Management,,Unemployed,Better Career Prospects,number not provided,Mumbai,1,0,Other_Source,1,Medium_Visits,High_Engagement,High_Page_Views
4.0,40.25,Landing Page Submission,Direct Traffic,0,0,0,India,Marketing Management,,Unemployed,Better Career Prospects,Busy,Unknown_City,0,0,Other_Source,1,High_Visits,Medium_Engagement,Low_Page_Views
2.0,255.5,Landing Page Submission,Google,0,0,0,India,Healthcare Management,Student of SomeSchool,Unemployed,Better Career Prospects,Diploma holder (Not Eligible),Mumbai,0,0,Other_Source,1,Low_Visits,High_Engagement,Low_Page_Views
0.0,0.0,API,Olark Chat,0,0,0,Unknown_Country,Not_Specified,,Unemployed,Better Career Prospects,opp hangup,Unknown_City,0,0,Other_Source,0,Low_Visits,Low_Engagement,Low_Page_Views
5.0,222.0,API,Google,0,0,1,India,Human Resource Management,,Working Professional,Better Career Prospects,Will revert after reading the email,Unknown_City,0,0,Other_Source,1,High_Visits,Very_High_Engagement,Very_High_Page_Views
5.0,312.6,Landing Page Submission,Direct Traffic,0,0,1,India,Finance Management,,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,1,0,Other_Source,1,High_Visits,Very_High_Engagement,Very_High_Page_Views
7.0,233.28571428571428,API,Referral Sites,0,0,0,India,Not_Specified,,Unemployed,Better Career Prospects,Ringing,Unknown_City,0,0,Other_Source,1,Very_High_Visits,Very_High_Engagement,High_Page_Views
0.0,0.0,API,Olark Chat,0,0,1,Unknown_Country,Not_Specified,,Unemployed,Better Career Prospects,,Unknown_City,0,0,Other_Source,0,Low_Visits,Low_Engagement,Low_Page_Views
9.5,85.15789473684211,Landing Page Submission,Google,0,0,0,India,Finance Management,Online Search,Not_Specified,Not_Specified,,Mumbai,0,0,Other_Source,1,Very_High_Visits,High_Engagement,High_Page_Views
2.0,319.0,Landing Page Submission,Direct Traffic,0,0,0,Other_Country,Healthcare Management,,Unemployed,Better Career Prospects,switched off,Mumbai,1,0,Other_Source,0,Low_Visits,High_Engagement,Low_Page_Views
5.0,239.2,API,Google,0,0,1,India,Not_Specified,,Unemployed,Better Career Prospects,,Unknown_City,0,0,Other_Source,1,High_Visits,Very_High_Engagement,Very_High_Page_Views
6.0,247.5,Landing Page Submission,Organic Search,0,0,0,India,Supply Chain Management,,Unemployed,Better Career Prospects,Ringing,Other Cities,1,0,Other_Source,1,Very_High_Visits,Very_High_Engagement,Very_High_Page_Views
9.0,13.88888888888889,API,Google,0,0,0,India,Not_Specified,,Not_Specified,Not_Specified,Interested in other courses,Unknown_City,0,0,Other_Source,1,Very_High_Visits,Low_Engagement,High_Page_Views
3.0,55.0,API,Google,0,0,1,India,Not_Specified,,Unemployed,Better Career Prospects,,Unknown_City,0,0,Other_Source,1,Medium_Visits,Medium_Engagement,High_Page_Views
6.0,66.33333333333333,Landing Page Submission,Google,0,0,0,India,Other_Specialization,Student of SomeSchool,Not_Specified,Not_Specified,,Mumbai,1,0,Other_Source,1,Very_High_Visits,High_Engagement,High_Page_Views
3.0,190.0,API,Organic Search,0,0,0,India,Not_Specified,,Not_Specified,Not_Specified,Interested in other courses,Unknown_City,0,0,Other_Source,1,Medium_Visits,High_Engagement,High_Page_Views
6.0,149.16666666666666,Landing Page Submission,Organic Search,0,0,1,India,Operations Management,,Unemployed,Better Career Prospects,Will revert after reading the email,Other Cities of Maharashtra,1,0,Other_Source,1,Very_High_Visits,High_Engagement,Very_High_Page_Views
4.0,297.5,Landing Page Submission,Google,0,0,1,India,Human Resource Management,Multiple Sources,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0,0,Other_Source,1,High_Visits,Very_High_Engagement,High_Page_Views
0.0,0.0,Lead Add Form,Reference,0,0,1,Unknown_Country,Business Administration,,Working Professional,Better Career Prospects,Closed by Horizzon,Unknown_City,0,0,Other_Source,0,Low_Visits,Low_Engagement,Low_Page_Views
5.0,313.2,API,Direct Traffic,0,0,0,India,Not_Specified,,Unemployed,Better Career Prospects,Graduation in progress,Unknown_City,0,0,Other_Source,1,High_Visits,Very_High_Engagement,Very_High_Page_Views
5.0,145.4,API,Google,0,0,1,India,Not_Specified,,Unemployed,Better Career Prospects,Will revert after reading the email,Thane & Outskirts,0,0,Other_Source,1,High_Visits,High_Engagement,Very_High_Page_Views
8.0,81.5,Landing Page Submission,Google,0,0,0,India,Other_Specialization,Other,Unemployed,Better Career Prospects,Ringing,Mumbai,0,0,Other_Source,1,Very_High_Visits,High_Engagement,High_Page_Views
4.0,312.0,API,Organic Search,0,0,0,India,Not_Specified,,Not_Specified,Not_Specified,,Unknown_City,0,0,Other_Source,1,High_Visits,Very_High_Engagement,Low_Page_Views
2.0,383.5,API,Google,0,0,0,India,Not_Specified,,Unemployed,Better Career Prospects,Already a student,Unknown_City,0,0,Other_Source,1,Low_Visits,High_Engagement,Low_Page_Views
9.5,28.94736842105263,API,Referral Sites,0,0,0,India,Not_Specified,,Unemployed,Better Career Prospects,Interested in other courses,Unknown_City,0,0,Other_Source,1,Very_High_Visits,Medium_Engagement,High_Page_Views
3.0,91.0,API,Organic Search,0,0,0,India,Not_Specified,,Unemployed,Better Career Prospects,switched off,Unknown_City,0,0,Other_Source,1,Medium_Visits,Medium_Engagement,High_Page_Views
3.0,370.3333333333333,Lead Add Form,Reference,0,0,1,Unknown_Country,Marketing Management,,Working Professional,Better Career Prospects,Closed by Horizzon,Other Cities,0,0,Other_Source,0,Medium_Visits,Very_High_Engagement,Medium_Page_Views
8.0,34.625,Landing Page Submission,Google,0,0,0,India,Finance Management,Online Search,Not_Specified,Not_Specified,,Mumbai,0,0,Other_Source,1,Very_High_Visits,Medium_Engagement,High_Page_Views
3.0,402.3333333333333,API,Organic Search,0,0,1,India,Not_Specified,,Unemployed,Better Career Prospects,,Unknown_City,0,0,Other_Source,1,Medium_Visits,Very_High_Engagement,Low_Page_Views
2.0,19.5,API,Google,0,0,0,India,Not_Specified,,Not_Specified,Not_Specified,,Unknown_City,0,0,Other_Source,1,Low_Visits,Low_Engagement,Low_Page_Views
4.0,409.5,Landing Page Submission,Google,0,0,0,India,Finance Management,,Unemployed,Better Career Prospects,Ringing,Mumbai,1,0,Other_Source,1,High_Visits,Very_High_Engagement,High_Page_Views
9.5,5.578947368421052,API,Referral Sites,0,0,0,India,Not_Specified,,Not_Specified,Not_Specified,,Unknown_City,0,0,Other_Source,1,Very_High_Visits,Low_Engagement,Very_High_Page_Views
1.0,127.0,Landing Page Submission,Direct Traffic,0,0,0,India,Finance Management,,Unemployed,Better Career Prospects,Already a student,Mumbai,1,0,Other_Source,1,Low_Visits,Low_Engagement,Low_Page_Views
5.0,20.0,Landing Page Submission,Organic Search,0,0,0,India,Supply Chain Management,,Unemployed,Better Career Prospects,switched off,Mumbai,1,0,Other_Source,1,High_Visits,Low_Engagement,Very_High_Page_Views
4.0,80.75,Landing Page Submission,Google,0,0,0,India,International Business,Multiple Sources,Not_Specified,Not_Specified,,Mumbai,0,0,Other_Source,1,High_Visits,Medium_Engagement,High_Page_Views
2.0,80.0,API,Google,0,0,1,India,Not_Specified,,Unemployed,Better Career Prospects,,Unknown_City,0,0,Other_Source,1,Low_Visits,Medium_Engagement,Low_Page_Views
0.0,0.0,Lead Add Form,Reference,0,0,1,Unknown_Country,Marketing Management,,Businessman,Better Career Prospects,Closed by Horizzon,Unknown_City,0,0,Other_Source,0,Low_Visits,Low_Engagement,Low_Page_Views
1.0,263.0,API,Google,0,0,0,India,Not_Specified,,Unemployed,Better Career Prospects,Interested in other courses,Unknown_City,0,0,Other_Source,1,Low_Visits,Medium_Engagement,Low_Page_Views
2.0,609.0,API,Google,0,0,0,India,Not_Specified,,Unemployed,Better Career Prospects,Interested in other courses,Unknown_City,0,0,Other_Source,1,Low_Visits,Very_High_Engagement,Low_Page_Views
3.0,328.6666666666667,Lead Add Form,Reference,0,0,1,Unknown_Country,Marketing Management,,Working Professional,Better Career Prospects,Closed by Horizzon,Unknown_City,0,0,Other_Source,0,Medium_Visits,High_Engagement,Medium_Page_Views
3.0,296.3333333333333,Lead Add Form,Other,0,0,1,Unknown_Country,Not_Specified,,Unemployed,Better Career Prospects,,Unknown_City,0,0,Other_Source,0,Medium_Visits,High_Engagement,Medium_Page_Views
5.0,218.2,Landing Page Submission,Google,0,0,1,India,Finance Management,Online Search,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0,0,Other_Source,1,High_Visits,Very_High_Engagement,Very_High_Page_Views
4.0,72.75,Landing Page Submission,Direct Traffic,0,0,0,India,Supply Chain Management,,Not_Specified,Not_Specified,,Other Cities,1,0,Other_Source,1,High_Visits,Medium_Engagement,High_Page_Views
0.0,0.0,Lead Add Form,Reference,0,0,1,Unknown_Country,Other_Specialization,,Unemployed,Better Career Prospects,Closed by Horizzon,Thane & Outskirts,0,0,Other_Source,0,Low_Visits,Low_Engagement,Low_Page_Views
